               THE COEFFICIENTS OF RK10(8)  TO 60 DIGITS
            using the notation of Fehlberg, Bettis, Horn, et alia


  k	         c[k]

0	0.
1	.1452518960316150517617548528770033320314511251329947060838468741983976455607179673401
2	.1452518960316150517617548528770033320314511251329947060838468741983976455607179673401
3	.2178778440474225776426322793155049980471766876994920591257703112975964683410769510101
4	.5446946101185564441065806982887624951179417192487301478144257782439911708526923775252
5	.6536335321422677329278968379465149941415300630984761773773109338927894050232308530303
6	.2746594919905254008808021630247618520892150865127407293922085868737635475402543533498
7	.7735775201106609448405825008093973718589542913426807556412662673054607938029043386501
8	.5801831400829957086304368756070480288942157185070105667309497004790955953521782539876
9	.1174723380352676535744985130203309248171321557319478803362088220814723414805867429383
10	.3573842417596774518429245029795604640404982636367873040901247917361510345429002009092
11	.6426157582403225481570754970204395359595017363632126959098752082638489654570997990908
12	.1174723380352676535744985130203309248171321557319478803362088220814723414805867429383
13	.8825276619647323464255014869796690751828678442680521196637911779185276585194132570617
14	.3573842417596774518429245029795604640404982636367873040901247917361510345429002009092
15	.6426157582403225481570754970204395359595017363632126959098752082638489654570997990908
16	.8825276619647323464255014869796690751828678442680521196637911779185276585194132570617
17	1.
18	.3510848126232741617357001972386587771203155818540433925049309664694280078895463510848
19	.6157407407407407407407407407407407407407407407407407407407407407407407407407407407407
20	1.



  k	         b[k]

0	.3333333333333333333333333333333333333333333333333333333333333333333333333333333333333e-1
1	0.
2	0.
3	0.
4	0.
5	0.
6	0.
7	0.
8	0.
9	0.
10	0.
11	.1387145942588715882541801312803271702142521598590204181697361204933422401935856968980
12	.1892374781489234901583064041060123262381623469486258303271944256799821862794952728707
13	.9461873907446174507915320205300616311908117347431291516359721283999109313974763643533e-1
14	.2774291885177431765083602625606543404285043197180408363394722409866844803871713937960
15	.1387145942588715882541801312803271702142521598590204181697361204933422401935856968980
16	.9461873907446174507915320205300616311908117347431291516359721283999109313974763643533e-1
17	.3333333333333333333333333333333333333333333333333333333333333333333333333333333333333e-1
18	0.
19	0.
20	0.


  k	         bhat[k]


0	.3339829895931337572271945815422988633728883413227543303554098429202731077409488318421e-1
1	0.
2	0.
3	0.
4	0.
5	0.
6	0.
7	0.
8	.5024509803921568627450980392156862745098039215686274509803921568627450980392156862745e-1
9	-.1423859191318858946753152353981644782061337055184060977838998119673893661279423564924
10	.2126013199429258434998789109063801828540550730541648287733608913970804891935883227446
11	.3254854965632843133622967470840062095221514741629108993207015882688341071771214986692
12	.3312629399585921325051759834368530020703933747412008281573498964803312629399585921325
13	.1887845809230650005639203350759631573314744764356665687950807917985316096487827551997
14	0.
15	0.
16	0.
17	0.
18	.6159811094287144604404508847679200761569154839698701533406779753675999506388462962070e-1
19	-.9440109660594088037957791636147830082275023098021053120999763935859315478744850552959e-1
20	.3341117040855897708234682470384970584684876341854831047975628586614323631403861184369e-1


 k     j	  A[k,j] 

1	0	.1452518960316150517617548528770033320314511251329947060838468741983976455607179673401
2	0	.7262594801580752588087742643850166601572556256649735304192343709919882278035898367003e-1
2	1	.7262594801580752588087742643850166601572556256649735304192343709919882278035898367003e-1
3	0	.5446946101185564441065806982887624951179417192487301478144257782439911708526923775252e-1
3	1	0.
3	2	.1634083830355669332319742094866287485353825157746190443443277334731973512558077132576
4	0	.5446946101185564441065806982887624951179417192487301478144257782439911708526923775252
4	1	0.
4	2	-2.042604787944586665399677618582859356692281447182738054304096668414966890697596415720
4	3	2.042604787944586665399677618582859356692281447182738054304096668414966890697596415720
5	0	.6536335321422677329278968379465149941415300630984761773773109338927894050232308530303e-1
5	1	0.
5	2	0.
5	3	.3268167660711338664639484189732574970707650315492380886886554669463947025116154265151
5	4	.2614534128569070931711587351786059976566120252393904709509243735571157620092923412121
6	0	.8233707757482716585173454344310125296066814318521742241762319051772963627695955263034e-1
6	1	0.
6	2	0.
6	3	.2119171963202803561687843468555305553175658807629274312902985594840086570224567152664
6	4	-.3997343508054218311577932550061320162379840049816347807630118786107674477850206579628e-1
6	5	.2037865317596006197606259822674324543477946306275935376058802473310199901934015124941e-1
7	0	.8595305779007343831562027786771081909543936570474230618236291858949564375587825985001e-1
7	1	0.
7	2	0.
7	3	0.
7	4	0.
7	5	.2911769478058850960337179621761553399856026049598393013981874594942289837064329700000
7	6	.3964475145147024104912442607655312127779123206780991480607158892217361663405931088001
8	0	.8612093485606967549983047372292119178898514571588438099912534616486575243508895957628e-1
8	1	0.
8	2	0.
8	3	0.
8	4	0.
8	5	.1397464826824442089036313891001189801074425314582326737716288563521183595455090268480
8	6	.3951098495815674599900526056001284215294125840404176924334653987770478924197803010468
8	7	-.4079412703708563576307759281612056453162454270752418047326990081493640904820003348350e-1
9	0	.7233144422337948077616348229119326315582930871089020733092900891206129381937795204778e-1
9	1	0.
9	2	0.
9	3	0.
9	4	0.
9	5	.2200276284689998102140972735735070061373242800181187459951219347361114857342828430157
9	6	.8789533425436734013369780264792573637952226487753296416823846876217040795688489371334e-1
9	7	-.4445383996260350863990674880611108986832860648196030000580004690002268108984238641730e-1
9	8	-.2183282289488754689095532966861839909872150913926337371522805434288481649401165594213
10	0	.8947100936731114228785441966773836169071038390882857211057269158522704971585365845223e-1
10	1	0.
10	2	0.
10	3	0.
10	4	0.
10	5	.3946008170285561860741397654755022300929434262701385530048127140223687993778661654316
10	6	.3443011367963333487713764986067104675654371857504670290688086760696354596195596354011
10	7	-.7946682664292661290694938113119430997053815140863772328764150866582492425892231395780e-1
10	8	-.3915218947895966123834967996391962853380545808840091268064277812752553499114569444180
10	9	0.
11	0	.3210006877963209212945282736072241886741425314298532400216927262619488479186214523312e-1
11	1	0.
11	2	0.
11	3	0.
11	4	0.
11	5	0.
11	6	0.
11	7	-.1846375997512050141835163881753227910996323204749769226655464078048769505209525299752e-3
