                     THE COEFFICIENTS OF RK12(10) TO 60 DIGITS
             using the notation of Fehlberg, Bettis, Horn, et alia

  k				c[k]

  0    0.000000000000000000000000000000000000000000000000000000000000
  1    0.200000000000000000000000000000000000000000000000000000000000
  2    0.555555555555555555555555555555555555555555555555555555555556
  3    0.833333333333333333333333333333333333333333333333333333333333
  4    0.333333333333333333333333333333333333333333333333333333333333
  5    1.00000000000000000000000000000000000000000000000000000000000
  6    0.671835709170513812712245661002797570438953420568682550710222
  7    0.288724941110620201935458488967024976908118598341806976469674
  8    0.562500000000000000000000000000000000000000000000000000000000
  9    0.833333333333333333333333333333333333333333333333333333333333
 10    0.947695431179199287562380162101836721649589325892740646458322
 11    0.0548112876863802643887753674810754475842153612931128785028369
 12    0.0848880518607165350639838930162674302064148175640019542045934
 13    0.265575603264642893098114059045616835297201264164077621448665
 14    0.500000000000000000000000000000000000000000000000000000000000
 15    0.734424396735357106901885940954383164702798735835922378551335
 16    0.915111948139283464936016106983732569793585182435998045795407
 17    0.947695431179199287562380162101836721649589325892740646458322
 18    0.833333333333333333333333333333333333333333333333333333333333
 19    0.288724941110620201935458488967024976908118598341806976469674
 20    0.671835709170513812712245661002797570438953420568682550710222
 21    0.333333333333333333333333333333333333333333333333333333333333
 22    0.555555555555555555555555555555555555555555555555555555555556
 23    0.200000000000000000000000000000000000000000000000000000000000
 24    1.00000000000000000000000000000000000000000000000000000000000  

  k				b[k]

  0    0.0238095238095238095238095238095238095238095238095238095238095
  1    0.0234375000000000000000000000000000000000000000000000000000000
  2    0.0312500000000000000000000000000000000000000000000000000000000
  3    0.000000000000000000000000000000000000000000000000000000000000
  4    0.0416666666666666666666666666666666666666666666666666666666667
  5    0.000000000000000000000000000000000000000000000000000000000000
  6    0.0500000000000000000000000000000000000000000000000000000000000
  7    0.0500000000000000000000000000000000000000000000000000000000000
  8    0.000000000000000000000000000000000000000000000000000000000000
  9    0.100000000000000000000000000000000000000000000000000000000000
 10    0.0714285714285714285714285714285714285714285714285714285714286
 11    0.000000000000000000000000000000000000000000000000000000000000
 12    0.138413023680782974005350203145033146748813640089941234591267
 13    0.215872690604931311708935511140681138965472074195773051123019
 14    0.243809523809523809523809523809523809523809523809523809523810
 15    0.215872690604931311708935511140681138965472074195773051123019
 16    0.138413023680782974005350203145033146748813640089941234591267
 17   -0.0714285714285714285714285714285714285714285714285714285714286
 18   -0.100000000000000000000000000000000000000000000000000000000000
 19   -0.0500000000000000000000000000000000000000000000000000000000000
 20   -0.0500000000000000000000000000000000000000000000000000000000000
 21   -0.0416666666666666666666666666666666666666666666666666666666667
 22   -0.0312500000000000000000000000000000000000000000000000000000000
 23   -0.0234375000000000000000000000000000000000000000000000000000000
 24    0.0238095238095238095238095238095238095238095238095238095238095

 
  k    j				A[k,j] 

  1    0    0.200000000000000000000000000000000000000000000000000000000000
  2    0   -0.216049382716049382716049382716049382716049382716049382716049
  2    1    0.771604938271604938271604938271604938271604938271604938271605
  3    0    0.208333333333333333333333333333333333333333333333333333333333
  3    1    0.000000000000000000000000000000000000000000000000000000000000
  3    2    0.625000000000000000000000000000000000000000000000000000000000
  4    0    0.193333333333333333333333333333333333333333333333333333333333
  4    1    0.000000000000000000000000000000000000000000000000000000000000
  4    2    0.220000000000000000000000000000000000000000000000000000000000
  4    3   -0.0800000000000000000000000000000000000000000000000000000000000
  5    0    0.100000000000000000000000000000000000000000000000000000000000
  5    1    0.000000000000000000000000000000000000000000000000000000000000
  5    2    0.000000000000000000000000000000000000000000000000000000000000
  5    3    0.400000000000000000000000000000000000000000000000000000000000
  5    4    0.500000000000000000000000000000000000000000000000000000000000
  6    0    0.103364471650010477570395435690481791543342708330349879244197
  6    1    0.000000000000000000000000000000000000000000000000000000000000
  6    2    0.000000000000000000000000000000000000000000000000000000000000
  6    3    0.124053094528946761061581889237115328211074784955180298044074
  6    4    0.483171167561032899288836480451962508724109257517289177302380
  6    5   -0.0387530245694763252085681443767620580395733302341368038804290
  7    0    0.124038261431833324081904585980175168140024670698633612292480
  7    1    0.000000000000000000000000000000000000000000000000000000000000
  7    2    0.000000000000000000000000000000000000000000000000000000000000
  7    3    0.000000000000000000000000000000000000000000000000000000000000
  7    4    0.217050632197958486317846256953159942875916353757734167684657
  7    5    0.0137455792075966759812907801835048190594443990939408530842918
  7    6   -0.0661095317267682844455831341498149531672668252085016565917546
  8    0    0.0914774894856882983144991846980432197088832099976660100090486
  8    1    0.000000000000000000000000000000000000000000000000000000000000
  8    2    0.000000000000000000000000000000000000000000000000000000000000
  8    3    0.000000000000000000000000000000000000000000000000000000000000
  8    4    0.000000000000000000000000000000000000000000000000000000000000
  8    5   -0.00544348523717469689965754944144838611346156873847009178068318
  8    6    0.0680716801688453518578515120895103863112751730758794372203952
  8    7    0.408394315582641046727306852653894780093303185664924644551239
  9    0    0.0890013652502551018954509355423841780143232697403434118692699
  9    1    0.000000000000000000000000000000000000000000000000000000000000
  9    2    0.000000000000000000000000000000000000000000000000000000000000
  9    3    0.000000000000000000000000000000000000000000000000000000000000
  9    4    0.000000000000000000000000000000000000000000000000000000000000
  9    5    0.00499528226645532360197793408420692800405891149406814091955810
  9    6    0.397918238819828997341739603001347156083435060931424970826304
  9    7    0.427930210752576611068192608300897981558240730580396406312359
  9    8   -0.0865117637557827005740277475955029103267246394128995965941585
 10    0    0.0695087624134907543112693906409809822706021061685544615255758
 10    1    0.000000000000000000000000000000000000000000000000000000000000
 10    2    0.000000000000000000000000000000000000000000000000000000000000
 10    3    0.000000000000000000000000000000000000000000000000000000000000
